Timestamp,B1_H_L,B1_V_L,B1_H_R,B1_V_R,B2_H_L,B2_V_L,B2_H_R,B2_V_R
1449158795,-5.914235236200121,-3.364621128224849,0.5140998105498537,-0.494180983888904,-15.598909367816045,-10.402589048117477,7.029639090520214,4.447766906009676
1449158797,-5.975458203200686,-3.4418908910944435,0.558702523638519,-0.4683485002365888,-15.7208602522489,-10.244460121710926,6.924601147693138,4.551252617912106
1449158799,-6.0359822882919705,-3.3997829824810437,0.402776695705032,-0.5366135177947854,-15.57263684326414,-10.320416104845565,7.0083644229285085,4.380573568073719
1449158801,-5.8692201987546255,-2.8359042482392085,0.4769086397421201,-0.3309777356928366,-15.666528671121895,-10.379900801451294,6.934420025970339,4.64228989829421
1449158803,-5.889957635771919,-3.0657609797394727,0.6265745693510401,-0.43054652114612507,-15.570385696245644,-10.329373032315607,6.981665600234237,4.653772079311992
1449158805,-5.942370161562895,-3.01213705152989,0.577450714707416,-0.5582481687848188,-15.497373501770461,-10.397198883359078,7.142817187359253,4.859701437771856
1449158807,-5.879199929609637,-3.0695243704518256,0.6123631346809312,-0.4832758387504534,-15.553559602869015,-10.451855576726347,6.961403753695137,4.823534467286037
1449158809,-5.972475764128115,-2.9581385205638395,0.5372110320055534,-0.4023456281376582,-15.736389455411231,-10.421872799093963,6.9145196846707435,4.799779860536054
1449158811,-6.1854002309692575,-2.8667583934707794,0.4823043705914945,-0.1952036158600956,-15.591937552265973,-10.437830185509345,6.967197921854974,4.732241514825886
1449158813,-6.24634432666184,-3.0444695676669005,0.4932932217818968,-0.4056026813653422,-15.612469677376072,-10.323306133543904,6.863796151890647,4.844770065641424
1449158815,-6.130186313906361,-2.837307241744062,0.4710075108964254,-0.42998798504811203,-15.582520367606888,-10.249564296233928,6.927501753324199,4.853514227081781
1449158817,-6.210391466419972,-2.759150165436775,0.3493008993756674,-0.3702291059576237,-15.570548682483285,-10.428645982222463,6.860013153714582,4.928305450268126
1449158819,-6.173593503403613,-2.8968485156476023,0.4320153349616663,-0.34663378794201616,-15.603381608281016,-10.423093792048187,6.91753974715887,4.822485189674456
1449158821,-6.004673322095332,-3.0517713673281803,0.4547872986873671,-0.26430708747342496,-15.609638330596113,-10.457069955197898,6.786046038018495,4.867579422565732
1449158823,-6.267289826861602,-2.7283398769791187,0.4686819092009566,-0.29893084713171864,-15.561233990029194,-10.465108009018362,6.89671910904382,4.852795506436495
1449158825,-6.292568847995059,-3.275111556950077,0.4218008324780492,-0.3245135671360387,-15.476436486739953,-10.440599233362523,6.894330052293749,4.739264268448488
1449158827,-6.221013251874753,-3.5209962477014827,0.5030577025993587,-0.1842127857980972,-15.532412195196054,-10.519155570396908,6.8334092408380425,4.7889135963409535
1449158829,-6.287571676973709,-3.4200591280045924,0.6085204646684292,-0.2727868916331848,-15.467883417398946,-10.459916536884991,6.899716964764732,4.9344829836578485
1449158831,-6.2721401872200735,-3.3205404897847006,0.5317853735045014,-0.3787606823281053,-15.433367844203492,-10.390813673591431,6.804420171284701,4.9138224537080495
1449158833,-6.281318766702112,-3.2348317325090594,0.4992894521460451,-0.3929903804085727,-15.531570164342662,-10.416966766519721,6.844059019698897,4.9169995027210085
1449158835,-6.3020823228228675,-3.3732856706740497,0.4492981661243358,-0.3234505685432814,-15.492392367608733,-10.48677460693843,6.883294075898551,4.7908183608596495
1449158837,-6.248870526828005,-3.5608173150121867,0.446030950237672,-0.3062194658192873,-15.476912504549468,-10.462696302892734,6.79526909730966,4.899629689048924
1449158839,-6.376663925388048,-3.5020799970459247,0.5439606918867996,-0.43343747809477,-15.5075576612214,-10.473243536065699,6.716686287330838,4.805872122603782
1449158841,-6.212858927123087,-3.4408946637187583,0.5044198968792598,-0.3822960856159723,-15.467722085110355,-10.389340421738227,6.6613182125250265,4.852332762857008
1449158843,-6.249387557386613,-3.3428112334589017,0.5408375757499444,-0.3637234245836002,-15.468398599715748,-10.3933214097596,6.695537012409363,4.883497492810679
1449158845,-6.258775257827759,-3.2189631462071366,0.4496686074938591,-0.28535459246292305,-15.51241581681218,-10.478685291117596,6.7376811073383225,4.775233706596427
1449158847,-6.17473064029431,-3.2641996605339565,0.4270693482511976,-0.4832744931437853,-15.507112163740931,-10.313930189389394,6.727974617658668,4.8510510123527535
1449158849,-6.167988728013303,-3.1526857874423047,0.4174847216168745,-0.5824520286489817,-15.598979215227423,-10.27314578597717,6.813068694635602,4.775964784233841
1449158851,-6.094949422584131,-3.1807148976448407,0.4473418898456878,-0.5185826799697331,-15.4700342406355,-10.268002586451226,6.801258452351894,4.869317680141745
1449158853,-6.092181105904032,-3.1910349796492112,0.4871743815797285,-0.3971239133902169,-15.430749261680775,-10.283990955468523,6.921813011901069,4.834859524443463
1449158855,-5.883803159481452,-3.1493412182673537,0.5287188736888679,-0.539091920934847,-15.495421983768015,-10.293018399584774,6.7320888638780225,4.6986056482489404
1449158857,-6.0042919461938,-3.3301657908306592,0.3810703307254368,-0.4711117274878237,-15.482917443947724,-10.326503312648477,6.801930242480881,4.841826866740879
1449158859,-6.009281801148231,-3.291339119045553,0.35562105032543473,-0.5709823906594916,-15.570711857367721,-10.277956799320103,6.6567871410202315,4.763842984299246
1449158861,-6.003321836482074,-3.2386424435803383,0.4897304560853713,-0.4221729322295809,-15.47938517359632,-10.212945447079065,6.744167955024892,4.695038602169354
1449158863,-6.02873188707125,-3.191629538637068,0.3390978571381322,-0.34622131746130297,-15.572055551456367,-10.15348503409936,6.745924921518508,4.747992469219413
